,gcrq,sjxh,cdh,vehicles,velocity
0,2016/5/22,1,11,0.00149004,0.088899835
1,2016/5/22,1,12,0.001712129,0.092198438
2,2016/5/22,1,31,0.002218006,0.074869115
3,2016/5/22,1,32,0.00158906,0.108810767
4,2016/5/22,2,11,0.00138789,0.087325714
5,2016/5/22,2,12,0.001588506,0.09230604
6,2016/5/22,2,31,0.002721276,0.074749106
7,2016/5/22,2,32,0.001532571,0.101200406
8,2016/5/22,3,11,0.001443234,0.088475746
9,2016/5/22,3,12,0.001424614,0.094594404
10,2016/5/22,3,31,0.002732513,0.077036962
11,2016/5/22,3,32,0.001501628,0.110879121
12,2016/5/22,4,11,0.001405199,0.08888753
13,2016/5/22,4,12,0.001565273,0.093674656
14,2016/5/22,4,31,0.00177912,0.062294775
15,2016/5/22,4,32,0.001292619,0.09942299
16,2016/5/22,5,11,0.001367957,0.090621531
17,2016/5/22,5,12,0.001591992,0.094886783
18,2016/5/22,5,31,0.002406643,0.06389566
19,2016/5/22,5,32,0.001318019,0.103478445
20,2016/5/22,6,11,0.001400915,0.083186907
21,2016/5/22,6,12,0.001504892,0.087233379
22,2016/5/22,6,31,0.001959238,0.068467511
23,2016/5/22,6,32,0.001199708,0.105777497
24,2016/5/22,7,11,0.001287508,0.085255563
25,2016/5/22,7,12,0.001625196,0.092756361
26,2016/5/22,7,31,0.002754192,0.062122172
27,2016/5/22,7,32,0.001199027,0.104658296
28,2016/5/22,8,11,0.001177381,0.084416297
29,2016/5/22,8,12,0.001337726,0.089381545
30,2016/5/22,8,31,0.002452465,0.055907864
31,2016/5/22,8,32,0.001253464,0.103848348
32,2016/5/22,9,11,0.001285957,0.07953079
33,2016/5/22,9,12,0.001468653,0.084682631
34,2016/5/22,9,31,0.002388311,0.066886171
35,2016/5/22,9,32,0.001164556,0.097968623
36,2016/5/22,10,11,0.001145756,0.086182535
37,2016/5/22,10,12,0.001213007,0.082614696
38,2016/5/22,10,31,0.001862418,0.065234781
39,2016/5/22,10,32,0.001093035,0.091511985
40,2016/5/22,11,11,0.001080877,0.072989814
41,2016/5/22,11,12,0.00137593,0.072837461
42,2016/5/22,11,31,0.002335027,0.062518755
43,2016/5/22,11,32,0.0011408,0.085163137
44,2016/5/22,12,11,0.001121511,0.081091149
45,2016/5/22,12,12,0.001262548,0.084718271
46,2016/5/22,12,31,0.001646343,0.057917164
47,2016/5/22,12,32,0.001080175,0.093444193
48,2016/5/22,13,11,0.000985899,0.077127364
49,2016/5/22,13,12,0.001296452,0.086783381
50,2016/5/22,13,31,0.001766805,0.05811298
51,2016/5/22,13,32,0.001255724,0.090351461
52,2016/5/22,14,11,0.001012696,0.083798643
53,2016/5/22,14,12,0.001349601,0.087865832
54,2016/5/22,14,31,0.001307687,0.066478052
55,2016/5/22,14,32,0.001049523,0.080683366
56,2016/5/22,15,11,0.001221518,0.074458445
57,2016/5/22,15,12,0.001270066,0.087178597
58,2016/5/22,15,31,0.001805558,0.063582209
59,2016/5/22,15,32,0.000981445,0.096034652
60,2016/5/22,16,11,0.0009388,0.072058825
61,2016/5/22,16,12,0.001744937,0.072139738
62,2016/5/22,16,31,0.002103037,0.062518978
63,2016/5/22,16,32,0.001121089,0.088783429
64,2016/5/22,17,11,0.000977496,0.073553131
65,2016/5/22,17,12,0.000947626,0.077852089
66,2016/5/22,17,31,0.002351205,0.058931403
67,2016/5/22,17,32,0.001012302,0.090116345
68,2016/5/22,18,11,0.000832654,0.069439183
69,2016/5/22,18,12,0.001423019,0.078580238
70,2016/5/22,18,31,0.000798746,0.058586634
71,2016/5/22,18,32,0.000834305,0.093654271
72,2016/5/22,19,11,0.000972385,0.07966232
73,2016/5/22,19,12,0.001022665,0.085736716
74,2016/5/22,19,31,0.000885548,0.05783795
75,2016/5/22,19,32,0.000897512,0.105433704
76,2016/5/22,20,11,0.000992676,0.086230732
77,2016/5/22,20,12,0.000752277,0.087120929
78,2016/5/22,20,31,0.000955262,0.068232613
79,2016/5/22,20,32,0.000997485,0.110971683
80,2016/5/22,21,11,0.000821945,0.080062117
81,2016/5/22,21,12,0.00087772,0.080963581
82,2016/5/22,21,31,0.000802915,0.074093309
83,2016/5/22,21,32,0.000748468,0.097594521
84,2016/5/22,22,11,0.000954187,0.075153053
85,2016/5/22,22,12,0.001002377,0.078814786
86,2016/5/22,22,31,0.000669823,0.05068978
87,2016/5/22,22,32,0.000837532,0.099421287
88,2016/5/22,23,11,0.000820764,0.067548022
89,2016/5/22,23,12,0.000887183,0.085018749
90,2016/5/22,23,31,0.000746061,0.054396523
91,2016/5/22,23,32,0.000662595,0.09044583
92,2016/5/22,24,11,0.000594806,0.056943185
93,2016/5/22,24,12,0.001706288,0.075195784
94,2016/5/22,24,31,0.002133861,0.070118126
95,2016/5/22,24,32,0.000711076,0.090900383
96,2016/5/22,25,11,0.000652249,0.066159572
97,2016/5/22,25,12,0.002216177,0.073590166
98,2016/5/22,25,31,0.001764475,0.049441005
99,2016/5/22,25,32,0.000852876,0.087338555
100,2016/5/22,26,11,0.000822645,0.07299292
101,2016/5/22,26,12,0.000822074,0.067169475
102,2016/5/22,26,31,0.00153637,0.051138746
103,2016/5/22,26,32,0.000856036,0.085365521
104,2016/5/22,27,11,0.00092656,0.07603736
105,2016/5/22,27,12,0.000659947,0.061516697
106,2016/5/22,27,31,0.001192459,0.058747828
107,2016/5/22,27,32,0.000894592,0.081654523
108,2016/5/22,28,11,0.000949945,0.072556604
109,2016/5/22,28,12,0.00192739,0.076661114
110,2016/5/22,28,31,0.001592927,0.056882927
111,2016/5/22,28,32,0.000837646,0.079266765
112,2016/5/22,29,11,0.000701043,0.066533248
113,2016/5/22,29,12,0.001128568,0.065819969
114,2016/5/22,29,31,0.000865854,0.04813711
115,2016/5/22,29,32,0.000814493,0.08490489
116,2016/5/22,30,11,0.000771985,0.066884976
117,2016/5/22,30,12,0.00086468,0.069441816
118,2016/5/22,30,31,0.000983037,0.046028973
119,2016/5/22,30,32,0.000735368,0.075138007
120,2016/5/22,31,11,0.00085799,0.062997074
121,2016/5/22,31,12,0.001161468,0.064944303
122,2016/5/22,31,31,0.00215254,0.047228984
123,2016/5/22,31,32,0.000790075,0.077609279
124,2016/5/22,32,11,0.000818249,0.067477277
125,2016/5/22,32,12,0.000825162,0.065552678
126,2016/5/22,32,31,0.001465355,0.051270936
127,2016/5/22,32,32,0.000777924,0.080619331
128,2016/5/22,33,11,0.000743941,0.062749482
129,2016/5/22,33,12,0.00077799,0.066797059
130,2016/5/22,33,31,0.002199199,0.043726466
131,2016/5/22,33,32,0.000812499,0.083067653
132,2016/5/22,34,11,0.000755655,0.059576089
133,2016/5/22,34,12,0.001245559,0.06530166
134,2016/5/22,34,31,0.001095919,0.040611397
135,2016/5/22,34,32,0.000748403,0.086714713
136,2016/5/22,35,11,0.000794047,0.066808966
137,2016/5/22,35,12,0.001352594,0.063528563
138,2016/5/22,35,31,0.001480381,0.046689157
139,2016/5/22,35,32,0.000778993,0.081206694
140,2016/5/22,36,11,0.000765853,0.057128676
141,2016/5/22,36,12,0.001118843,0.057378264
142,2016/5/22,36,31,0.001702388,0.050262635
143,2016/5/22,36,32,0.000602023,0.075497695
144,2016/5/22,37,11,0.000756994,0.07003399
145,2016/5/22,37,12,0.001185055,0.073925043
146,2016/5/22,37,31,0.001560469,0.051412889
147,2016/5/22,37,32,0.00081079,0.08283661
148,2016/5/22,38,11,0.000800835,0.066354129
149,2016/5/22,38,12,0.001250612,0.071367431
150,2016/5/22,38,31,0.001015499,0.040784954
151,2016/5/22,38,32,0.000600867,0.076142971
152,2016/5/22,39,11,0.000721201,0.060302554
153,2016/5/22,39,12,0.001281107,0.05929207
154,2016/5/22,39,31,0.002337673,0.040990322
155,2016/5/22,39,32,0.000662392,0.074484794
156,2016/5/22,40,11,0.000785895,0.06020509
157,2016/5/22,40,12,0.001055524,0.067899179
158,2016/5/22,40,31,0.002094956,0.049401766
159,2016/5/22,40,32,0.000683822,0.075536869
160,2016/5/22,41,11,0.000610697,0.064034008
161,2016/5/22,41,12,0.000872557,0.063104491
162,2016/5/22,41,31,0.001544449,0.048345036
163,2016/5/22,41,32,0.000688527,0.076644343
164,2016/5/22,42,11,0.001119247,0.067751572
165,2016/5/22,42,12,0.001147084,0.065100684
166,2016/5/22,42,31,0.000929255,0.041626923
167,2016/5/22,42,32,0.000597124,0.078697421
168,2016/5/22,43,11,0.000670872,0.060380003
169,2016/5/22,43,12,0.000855731,0.060599157
170,2016/5/22,43,31,0.000789951,0.040753348
171,2016/5/22,43,32,0.000699366,0.065069092
172,2016/5/22,44,11,0.000710437,0.065981651
173,2016/5/22,44,12,0.000770232,0.059260961
174,2016/5/22,44,31,0.0017052,0.048390481
175,2016/5/22,44,32,0.000694683,0.07557747
176,2016/5/22,45,11,0.000645778,0.063894657
177,2016/5/22,45,12,0.001205672,0.068270527
178,2016/5/22,45,31,0.001381105,0.043049552
179,2016/5/22,45,32,0.000638784,0.068590473
180,2016/5/22,46,11,0.000788757,0.064828846
181,2016/5/22,46,12,0.001552002,0.069471333
182,2016/5/22,46,31,0.000551185,0.038495678
183,2016/5/22,46,32,0.000663115,0.083998975
184,2016/5/22,47,11,0.000800461,0.058085154
185,2016/5/22,47,12,0.001532101,0.064288952
